Player,Player_ID,SEASON_ID,League_id,Team_id,Team_Abbreviation,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION
Aerial Powers,1627672.0,2018-19,10,1611661322.0,WAS,25.0,9,0,114.0,18,40,0.45,7,16,0.438,12,12,1.0,5,24,29,8,6,4,7,9,55,,,,
Aerial Powers,1627672.0,2018-19,10,0.0,TOT,25.0,24,0,345.0,48,122,0.393,12,44,0.273,40,46,0.87,16,50,66,21,13,6,31,30,148,,,,
Aerial Powers,1627672.0,2019-20,10,1611661322.0,WAS,26.0,30,7,593.0,108,249,0.434,42,116,0.362,85,98,0.867,34,62,96,45,25,6,44,48,343,,,,
Aerial Powers,1627672.0,2020-21,10,1611661322.0,WAS,27.0,6,6,179.0,32,69,0.464,9,26,0.346,25,30,0.833,2,27,29,15,9,0,11,16,98,,,,
Aerial Powers,1627672.0,2021-22,10,1611661324.0,MIN,28.0,14,7,309.0,61,143,0.427,11,35,0.314,55,60,0.917,13,38,51,29,5,5,41,29,188,,,,
Aerial Powers,1627672.0,2022-23,10,1611661324.0,MIN,29.0,35,31,943.0,170,441,0.385,33,107,0.308,132,162,0.815,46,118,164,100,42,11,90,63,505,,,,
Aerial Powers,1627672.0,2023-24,10,1611661324.0,MIN,30.0,20,0,195.0,38,92,0.413,6,19,0.316,22,24,0.917,6,30,36,15,3,2,18,6,104,,,,
Aerial Powers,1627672.0,2024-25,10,1611661330.0,ATL,31.0,17,2,304.0,49,138,0.355,14,36,0.389,34,43,0.791,15,41,56,24,16,4,18,35,146,,,,
Angel Reese,1642291.0,2024-25,10,1611661329.0,CHI,22.0,34,34,1104.0,164,419,0.391,3,16,0.188,131,178,0.736,172,274,446,63,44,16,75,119,462,,,,
DiDi Richards,1630459.0,2021-22,10,1611661313.0,NYL,23.0,31,0,346.0,27,64,0.422,10,22,0.455,6,10,0.6,9,25,34,25,17,6,16,24,70,,,,
DiDi Richards,1630459.0,2022-23,10,1611661313.0,NYL,24.0,14,0,155.0,11,36,0.306,3,11,0.273,7,10,0.7,5,19,24,20,1,5,13,25,32,,,,
DiDi Richards,1630459.0,2024-25,10,1611661322.0,WAS,25.0,20,7,198.0,20,50,0.4,0,4,0.0,6,14,0.429,10,19,29,13,2,4,7,15,46,,,,
Mercedes Russell,1628920.0,2018-19,10,1611661313.0,NYL,23.0,2,0,32.0,1,3,0.333,0,0,0.0,3,4,0.75,0,3,3,2,2,1,1,2,5,,,,
Mercedes Russell,1628920.0,2018-19,10,1611661328.0,SEA,23.0,22,0,101.0,15,31,0.484,0,0,0.0,5,10,0.5,8,22,30,2,0,2,6,14,35,,,,
Mercedes Russell,1628920.0,2018-19,10,0.0,TOT,23.0,24,0,134.0,16,34,0.471,0,0,0.0,8,14,0.571,8,25,33,4,2,3,7,16,40,,,,
Mercedes Russell,1628920.0,2019-20,10,1611661328.0,SEA,24.0,34,30,870.0,106,205,0.517,0,0,0.0,42,65,0.646,81,126,207,35,37,17,32,85,254,,,,
Mercedes Russell,1628920.0,2020-21,10,1611661328.0,SEA,25.0,22,2,304.0,32,78,0.41,0,0,0.0,14,25,0.56,16,54,70,13,8,8,16,21,78,,,,
Mercedes Russell,1628920.0,2021-22,10,1611661328.0,SEA,26.0,30,28,740.0,92,149,0.617,0,0,0.0,36,47,0.766,50,134,184,49,28,11,37,79,220,,,,
Mercedes Russell,1628920.0,2022-23,10,1611661328.0,SEA,27.0,5,0,54.0,4,8,0.5,0,0,0.0,2,3,0.667,2,7,9,1,0,0,7,7,10,,,,
Mercedes Russell,1628920.0,2023-24,10,1611661328.0,SEA,28.0,37,13,705.0,81,157,0.516,0,1,0.0,23,38,0.605,39,110,149,48,16,17,55,56,185,,,,
Mercedes Russell,1628920.0,2024-25,10,1611661328.0,SEA,29.0,37,6,583.0,62,120,0.517,0,0,0.0,21,33,0.636,26,84,110,30,22,9,26,43,145,,,,
Nyara Sabally,1631055.0,2023-24,10,1611661313.0,NYL,24.0,33,0,260.0,25,59,0.424,2,9,0.222,24,32,0.75,19,51,70,7,4,7,18,38,76,,,,
Nyara Sabally,1631055.0,2024-25,10,1611661313.0,NYL,24.0,26,0,352.0,50,87,0.575,0,2,0.0,28,40,0.7,34,71,105,15,23,19,13,41,128,,,,
Satou Sabally,1630149.0,2020-21,10,1611661321.0,DAL,23.0,16,14,451.0,67,182,0.368,13,66,0.197,75,86,0.872,41,83,124,40,13,14,35,50,222,,,,
Satou Sabally,1630149.0,2021-22,10,1611661321.0,DAL,24.0,17,14,423.0,69,165,0.418,18,55,0.327,47,61,0.77,27,73,100,48,4,14,39,54,203,,,,
Satou Sabally,1630149.0,2022-23,10,1611661321.0,DAL,25.0,11,6,239.0,41,103,0.398,10,43,0.233,32,35,0.914,9,44,53,23,5,2,25,35,124,,,,
Satou Sabally,1630149.0,2023-24,10,1611661321.0,DAL,26.0,38,38,1258.0,237,545,0.435,66,183,0.361,167,191,0.874,86,222,308,167,68,16,110,135,707,,,,
Satou Sabally,1630149.0,2024-25,10,1611661321.0,DAL,26.0,15,15,512.0,89,209,0.426,38,84,0.452,53,68,0.779,18,78,96,75,19,8,37,48,269,,,,
Karlie Samuelson,1628317.0,2018-19,10,1611661320.0,LAS,24.0,20,0,84.0,7,18,0.389,5,16,0.313,0,0,0.0,2,8,10,6,2,5,3,13,19,,,,
Karlie Samuelson,1628317.0,2019-20,10,1611661320.0,LAS,25.0,3,0,36.0,1,7,0.143,1,6,0.167,0,0,0.0,0,2,2,3,0,0,0,2,3,,,,
Karlie Samuelson,1628317.0,2019-20,10,1611661321.0,DAL,25.0,4,0,48.0,2,7,0.286,2,6,0.333,0,0,0.0,1,1,2,2,3,1,0,6,6,,,,
Karlie Samuelson,1628317.0,2019-20,10,0.0,TOT,25.0,7,0,84.0,3,14,0.214,3,12,0.25,0,0,0.0,1,3,4,5,3,1,0,8,9,,,,
Karlie Samuelson,1628317.0,2021-22,10,1611661320.0,LAS,27.0,11,3,174.0,13,34,0.382,11,23,0.478,5,7,0.714,3,22,25,9,7,0,5,20,42,,,,
Karlie Samuelson,1628317.0,2021-22,10,1611661328.0,SEA,27.0,3,0,32.0,3,10,0.3,1,8,0.125,2,2,1.0,0,1,1,2,0,0,3,1,9,,,,
Karlie Samuelson,1628317.0,2021-22,10,0.0,TOT,27.0,14,3,206.0,16,44,0.364,12,31,0.387,7,9,0.778,3,23,26,11,7,0,8,21,51,,,,
Karlie Samuelson,1628317.0,2022-23,10,1611661317.0,PHO,28.0,1,0,10.0,1,3,0.333,1,3,0.333,0,0,0.0,0,3,3,1,0,0,1,1,3,,,,
Karlie Samuelson,1628317.0,2023-24,10,1611661320.0,LAS,29.0,34,23,888.0,82,177,0.463,49,115,0.426,48,51,0.941,11,90,101,68,22,3,30,81,261,,,,
Karlie Samuelson,1628317.0,2024-25,10,1611661322.0,WAS,29.0,29,19,712.0,79,193,0.409,49,123,0.398,36,39,0.923,15,59,74,62,27,1,25,48,243,,,,
Katie Lou Samuelson,1629478.0,2019-20,10,1611661329.0,CHI,23.0,20,0,153.0,12,38,0.316,8,29,0.276,16,20,0.8,4,13,17,7,6,2,5,15,48,,,,
Katie Lou Samuelson,1629478.0,2020-21,10,1611661321.0,DAL,24.0,22,4,439.0,40,96,0.417,19,60,0.317,11,15,0.733,8,45,53,30,15,8,12,32,110,,,,
Katie Lou Samuelson,1629478.0,2021-22,10,1611661328.0,SEA,25.0,27,24,567.0,72,158,0.456,26,74,0.351,19,26,0.731,11,83,94,46,19,7,30,45,189,,,,
